종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"102460","이연제약","KOSPI",,"10950","-110","-0.99","11060","11060","10910","21054","230768035","203525580450","18586811"
"039030","이오테크닉스","KOSDAQ GLOBAL","우량기업부","317000","28000","9.69","297000","322500","295500","312150","96895992500","3923776675000","12319550"
"294090","이오플로우","KOSDAQ","관리종목(소속부없음)","1490","0","0.00","0","0","0","0","0","61207866450","41079105"
"088290","이원컴포텍","KOSDAQ","중견기업부","821","-6","-0.73","827","845","813","48858","39979756","32741778844","39880364"
"084680","이월드","KOSPI",,"1485","-32","-2.11","1512","1529","1475","264112","397636342","211149421377","141806193"
"353810","이지바이오","KOSDAQ","우량기업부","5790","-30","-0.52","5850","5850","5730","102486","590584025","191544316800","33081920"
"261520","이지스","KOSDAQ","기술성장기업부","10670","-20","-0.19","10690","11440","10620","530608","5837378830","104334639480","9769161"
"350520","이지스레지던스리츠","KOSPI",,"3870","50","1.31","3815","3885","3810","72689","279962317","142303539720","36866202"
"334890","이지스밸류플러스리츠","KOSPI",,"4215","20","0.48","4195","4220","4185","177473","746499559","292726198845","69448683"
"099750","이지케어텍","KOSDAQ","벤처기업부","9080","-10","-0.11","9000","9160","8950","39174","354226425","61854722800","6834776"
"377330","이지트로닉스","KOSDAQ","기술성장기업부","3930","-20","-0.51","3960","3995","3915","5782","22869840","31990019220","8139954"
"035810","이지홀딩스","KOSDAQ","우량기업부","4500","-15","-0.33","4495","4540","4455","138040","621407133","290645413425","64516185"
"092130","이크레더블","KOSDAQ","중견기업부","16050","-330","-2.01","16380","16590","16040","39370","636940405","193299780000","12043600"
"134060","이퓨쳐","KOSDAQ","벤처기업부","4155","55","1.34","4100","4180","4070","6916","28616745","19816233750","4769250"
"001840","이화공영","KOSDAQ","투자주의환기종목(소속부없음)","1616","0","0.00","0","0","0","0","0","36010355776","22283636"
